image_id,label,variety,age,label_enc,kfold
110123.jpg,dead_heart,ADT45,65,5,0
103408.jpg,dead_heart,ADT45,72,5,0
106214.jpg,tungro,ADT45,60,9,0
100525.jpg,normal,ADT45,70,8,0
104673.jpg,dead_heart,ADT45,70,5,0
102229.jpg,dead_heart,ADT45,65,5,0
100874.jpg,dead_heart,ADT45,72,5,0
109401.jpg,downy_mildew,ADT45,70,6,0
103165.jpg,blast,KarnatakaPonni,75,3,0
103529.jpg,blast,ADT45,70,3,0
110091.jpg,brown_spot,ADT45,68,4,0
102567.jpg,hispa,ADT45,68,7,0
107723.jpg,hispa,ADT45,70,7,0
104048.jpg,tungro,ADT45,60,9,0
103030.jpg,bacterial_leaf_streak,ADT45,60,1,0
104310.jpg,blast,ADT45,70,3,0
104428.jpg,bacterial_leaf_blight,ADT45,72,0,0
105102.jpg,hispa,AndraPonni,65,7,0
106966.jpg,tungro,ADT45,72,9,0
105955.jpg,dead_heart,ADT45,67,5,0
107008.jpg,tungro,ADT45,45,9,0
101271.jpg,dead_heart,Onthanel,50,5,0
100379.jpg,blast,ADT45,70,3,0
109688.jpg,downy_mildew,ADT45,68,6,0
104308.jpg,dead_heart,ADT45,80,5,0
105122.jpg,bacterial_leaf_blight,ADT45,50,0,0
100587.jpg,dead_heart,ADT45,75,5,0
105662.jpg,bacterial_leaf_blight,ADT45,50,0,0
104962.jpg,brown_spot,ADT45,70,4,0
100913.jpg,dead_heart,ADT45,80,5,0
108342.jpg,bacterial_leaf_streak,Onthanel,50,1,0
107471.jpg,bacterial_panicle_blight,ADT45,68,2,0
101741.jpg,normal,ADT45,67,8,0
104528.jpg,blast,KarnatakaPonni,75,3,0
107051.jpg,bacterial_leaf_streak,Onthanel,50,1,0
110303.jpg,tungro,ADT45,45,9,0
101707.jpg,blast,ADT45,70,3,0
101699.jpg,tungro,ADT45,60,9,0
103149.jpg,blast,ADT45,70,3,0
106720.jpg,dead_heart,ADT45,70,5,0
107492.jpg,brown_spot,ADT45,55,4,0
101475.jpg,blast,KarnatakaPonni,75,3,0
109103.jpg,blast,ADT45,45,3,0
100927.jpg,downy_mildew,KarnatakaPonni,50,6,0
110390.jpg,blast,ADT45,50,3,0
103298.jpg,blast,Surya,45,3,0
